Name,Team,Height,Weight,Jersey Number,Position Shorthand,Position Longhand,Country,Overall,Potential,Stats,Detailed link
Neill Byrne,Tranmere Rovers,"6'3""																",154lbs,#19 ,CB,Centre Back,Republic of Ireland,60,60,1345,https://www.fifaratings.com/neill-byrne
Jon Nolan,Tranmere Rovers,"5'11""																",159lbs,#16 ,CM,Center Midfielder,England,60,60,1709,https://www.fifaratings.com/jon-nolan
Paul Glatzel,Tranmere Rovers,"5'9""																",148lbs,#9 ,ST,Striker,Germany,59,65,1523,https://www.fifaratings.com/paul-glatzel
Luke Robinson,Tranmere Rovers,"5'9""																",159lbs,#21 ,LB,Left Back,Scotland,59,64,1416,https://www.fifaratings.com/luke-robinson
Joel Mumbongo,Tranmere Rovers,"6'2""																",176lbs,#25 ,ST,Striker,Sweden,59,63,1491,https://www.fifaratings.com/joel-mumbongo
Charlie Jolley,Tranmere Rovers,"5'10""																",168lbs,#12 ,ST,Striker,England,58,62,1415,https://www.fifaratings.com/charlie-jolley
Kyle Jameson,Tranmere Rovers,"6'0""																",174lbs,#18 ,CB,Centre Back,England,57,62,1358,https://www.fifaratings.com/kyle-jameson
Ben Hockenhull,Tranmere Rovers,"6'1""																",170lbs,#15 ,CB,Centre Back,England,56,64,1294,https://www.fifaratings.com/ben-hockenhull
Rhys Hughes,Tranmere Rovers,"5'11""																",159lbs,#17 ,CAM,Center Attacking Midfielder,Wales,56,63,1562,https://www.fifaratings.com/rhys-hughes
Reece McAlear,Tranmere Rovers,"6'1""																",165lbs,#8 ,RM,Right Midfielder,Scotland,56,63,1558,https://www.fifaratings.com/reece-mcalear
Jake Burton,Tranmere Rovers,"5'11""																",163lbs,#27 ,ST,Striker,England,54,61,1313,https://www.fifaratings.com/jake-burton
Arthur Lomax,Tranmere Rovers,"5'10""																",152lbs,#30 ,ST,Striker,England,50,60,1280,https://www.fifaratings.com/arthur-lomax
Jack Williams,Tranmere Rovers,"5'9""																",152lbs,#31 ,RM,Right Midfielder,England,50,59,1419,https://www.fifaratings.com/jack-williams
Mohamed Ofkir,Sandefjord Fotball,"5'10""																",157lbs,#7 ,RW,Right Winger,Norway,67,68,1641,https://www.fifaratings.com/mohamed-ofkir
Jacob Storevik,Sandefjord Fotball,"6'2""																",183lbs,#1 ,GK,Goalkeeper,Norway,65,69,1082,https://www.fifaratings.com/jacob-storevik
Rufo,Sandefjord Fotball,"5'9""																",161lbs,#28 ,CAM,Center Attacking Midfielder,Spain,65,65,1617,https://www.fifaratings.com/ruben-herraiz-alcaraz
A. Tveter,Sandefjord Fotball,"6'3""																",190lbs,#14 ,ST,Striker,Norway,65,65,1671,https://www.fifaratings.com/alexander-ruud-tveter
Jesper Taaje,Sandefjord Fotball,"6'4""																",187lbs,#15 ,CB,Centre Back,Norway,64,71,1433,https://www.fifaratings.com/jesper-taaje
Bikoro,Sandefjord Fotball,"6'1""																",159lbs,#22 ,CDM,Center Defensive Midfielder,Equatorial Guinea,64,67,1636,https://www.fifaratings.com/federico-bikoro-akieme-nchama
W. Kurtović,Sandefjord Fotball,"6'3""																",187lbs,#8 ,CM,Center Midfielder,Sweden,64,67,1737,https://www.fifaratings.com/william-kurtovic
Harmeet Singh,Sandefjord Fotball,"5'11""																",163lbs,#24 ,CM,Center Midfielder,Norway,64,64,1763,https://www.fifaratings.com/harmeet-singh
Quint Jansen,Sandefjord Fotball,"6'4""																",187lbs,#3 ,CB,Centre Back,Netherlands,64,64,1440,https://www.fifaratings.com/quint-jansen
S. Foss,Sandefjord Fotball,"6'1""																",176lbs,#17 ,CB,Centre Back,Norway,63,71,1401,https://www.fifaratings.com/sander-moen-foss
Ian Smeulers,Sandefjord Fotball,"5'9""																",154lbs,#4 ,LB,Left Back,Netherlands,63,71,1655,https://www.fifaratings.com/ian-smeulers
Mats Haakenstad,Sandefjord Fotball,"6'0""																",161lbs,#2 ,RB,Right Back,Norway,63,63,1656,https://www.fifaratings.com/mats-haakenstad
Deyver Vega,Sandefjord Fotball,"5'10""																",157lbs,#10 ,LW,Left Winger,Costa Rica,63,63,1598,https://www.fifaratings.com/deyver-vega
Lars Markmanrud,Sandefjord Fotball,"5'11""																",157lbs,#13 ,RB,Right Back,Norway,62,70,1545,https://www.fifaratings.com/lars-markmanrud
Hugo Keto,Sandefjord Fotball,"6'4""																",174lbs,#12 ,GK,Goalkeeper,Finland,62,69,1096,https://www.fifaratings.com/hugo-keto
Amer Ordagić,Sandefjord Fotball,"5'11""																",165lbs,#19 ,CM,Center Midfielder,Bosnia and Herzegovina,62,62,1680,https://www.fifaratings.com/amer-ordagic
A. Nilsson,Sandefjord Fotball,"5'10""																",159lbs,#5 ,CM,Center Midfielder,Sweden,61,75,1549,https://www.fifaratings.com/aleksander-d-nilsson
Sivert Gussiås,Sandefjord Fotball,"6'0""																",181lbs,#9 ,ST,Striker,Norway,61,68,1490,https://www.fifaratings.com/sivert-gussias
F. Nyenetue,Sandefjord Fotball,"5'9""																",154lbs,#20 ,LW,Left Winger,Norway,60,72,1480,https://www.fifaratings.com/franklin-nyenetue
S. Mørk,Sandefjord Fotball,"6'1""																",172lbs,#6 ,RM,Right Midfielder,Norway,60,71,1629,https://www.fifaratings.com/sander-risan-mork
Keanin Ayer,Sandefjord Fotball,"5'8""																",141lbs,#23 ,RM,Right Midfielder,South Africa,60,67,1595,https://www.fifaratings.com/keanin-ayer
Fredrik Flo,Sandefjord Fotball,"6'3""																",183lbs,#21 ,CB,Centre Back,Norway,60,66,1505,https://www.fifaratings.com/fredrik-flo
Albin Winbo,Sandefjord Fotball,"5'11""																",163lbs,#27 ,CM,Center Midfielder,Sweden,60,64,1676,https://www.fifaratings.com/albin-winbo
F. Pålerud,Sandefjord Fotball,"5'11""																",172lbs,#18 ,RB,Right Back,Norway,60,60,1522,https://www.fifaratings.com/fredrik-palerud
André Södlund,Sandefjord Fotball,"6'1""																",168lbs,#16 ,RM,Right Midfielder,Norway,59,62,1592,https://www.fifaratings.com/andre-sodlund
Youssef Chaib,Sandefjord Fotball,"5'11""																",154lbs,#11 ,LM,Left Midfielder,Norway,59,60,1476,https://www.fifaratings.com/youssef-chaib
V. Egeli,Sandefjord Fotball,"5'9""																",154lbs,#25 ,RM,Right Midfielder,Norway,56,75,1510,https://www.fifaratings.com/vetle-walle-egeli
Wally Njie,Sandefjord Fotball,"5'11""																",157lbs,#29 ,ST,Striker,Norway,54,70,1300,https://www.fifaratings.com/wally-njie
Robert Berić,Tianjin Jinmen Tiger FC,"6'2""																",181lbs,#9 ,ST,Striker,Slovenia,70,70,1792,https://www.fifaratings.com/robert-beric
Farley,Tianjin Jinmen Tiger FC,"5'10""																",143lbs,#18 ,LM,Left Midfielder,Brazil,70,70,1641,https://www.fifaratings.com/farley-vieira-rosa
Andújar,Tianjin Jinmen Tiger FC,"6'2""																",174lbs,#2 ,CB,Centre Back,Spain,69,69,1520,https://www.fifaratings.com/david-andujar-jimenez
Dun Ba,Tianjin Jinmen Tiger FC,"5'11""																",159lbs,#29 ,RM,Right Midfielder,China PR,66,66,1734,https://www.fifaratings.com/dun-ba
Yinong Tian,Tianjin Jinmen Tiger FC,"6'0""																",159lbs,#31 ,CDM,Center Defensive Midfielder,China PR,62,62,1632,https://www.fifaratings.com/yinong-tian
Yuefeng Bai,Tianjin Jinmen Tiger FC,"5'11""																",163lbs,#19 ,RB,Right Back,China PR,61,61,1645,https://www.fifaratings.com/yuefeng-bai
Tong Zhou,Tianjin Jinmen Tiger FC,"5'7""																",146lbs,#7 ,LM,Left Midfielder,China PR,61,61,1623,https://www.fifaratings.com/tong-zhou
Jingqi Fang,Tianjin Jinmen Tiger FC,"6'2""																",168lbs,#22 ,GK,Goalkeeper,China PR,60,60,1052,https://www.fifaratings.com/jingqi-fang
Qiuming Wang,Tianjin Jinmen Tiger FC,"5'9""																",143lbs,#30 ,RM,Right Midfielder,China PR,60,60,1738,https://www.fifaratings.com/qiuming-wang
Yan Shi,Tianjin Jinmen Tiger FC,"5'9""																",141lbs,#40 ,RM,Right Midfielder,China PR,59,74,1490,https://www.fifaratings.com/yan-shi
Jianan Wang,Tianjin Jinmen Tiger FC,"5'10""																",159lbs,#20 ,RB,Right Back,China PR,59,59,1685,https://www.fifaratings.com/jianan-wang
Wei Zhang,Tianjin Jinmen Tiger FC,"5'9""																",161lbs,#27 ,RB,Right Back,China PR,59,59,1610,https://www.fifaratings.com/wei-zhang
Weijun Xie,Tianjin Jinmen Tiger FC,"6'2""																",154lbs,#11 ,ST,Striker,China PR,58,61,1434,https://www.fifaratings.com/weijun-xie
Jiarun Gao,Tianjin Jinmen Tiger FC,"6'0""																",165lbs,#6 ,CB,Centre Back,China PR,58,59,1543,https://www.fifaratings.com/jiarun-gao
Wangsong Tan,Tianjin Jinmen Tiger FC,"5'11""																",154lbs,#28 ,CB,Centre Back,China PR,57,57,1617,https://www.fifaratings.com/wangsong-tan
Yuanjie Su,Tianjin Jinmen Tiger FC,"5'10""																",165lbs,#32 ,RW,Right Winger,China PR,57,57,1549,https://www.fifaratings.com/yuanjie-su
Tianyi Qiu,Tianjin Jinmen Tiger FC,"6'4""																",176lbs,#5 ,CB,Centre Back,China PR,57,57,1349,https://www.fifaratings.com/tianyi-qiu
Fan Yang,Tianjin Jinmen Tiger FC,"6'1""																",159lbs,#4 ,CB,Centre Back,China PR,56,60,1451,https://www.fifaratings.com/fan-yang
Yingjie Zhao,Tianjin Jinmen Tiger FC,"6'0""																",170lbs,#8 ,CM,Center Midfielder,China PR,56,56,1604,https://www.fifaratings.com/yingjie-zhao
Zihao Yang,Tianjin Jinmen Tiger FC,"5'11""																",174lbs,#16 ,LWB,Left WingBack,China PR,54,63,1333,https://www.fifaratings.com/zihao-yang
Yumiao Qian,Tianjin Jinmen Tiger FC,"5'10""																",143lbs,#23 ,CB,Centre Back,China PR,53,59,1380,https://www.fifaratings.com/yumiao-qian
Jiamin Xu,Tianjin Jinmen Tiger FC,"6'4""																",176lbs,#26 ,GK,Goalkeeper,China PR,53,56,972,https://www.fifaratings.com/jiamin-xu
Taoyu Piao,Tianjin Jinmen Tiger FC,"5'10""																",141lbs,#24 ,RM,Right Midfielder,China PR,53,53,1467,https://www.fifaratings.com/taoyu-piao
Yue Song,Tianjin Jinmen Tiger FC,"6'1""																",185lbs,#33 ,CB,Centre Back,China PR,51,51,1403,https://www.fifaratings.com/yue-song
Xuelong Sun,Tianjin Jinmen Tiger FC,"5'9""																",143lbs,#37 ,RM,Right Midfielder,China PR,49,57,1427,https://www.fifaratings.com/xuelong-sun
Xingliang Zhang,Tianjin Jinmen Tiger FC,"5'8""																",146lbs,#21 ,RM,Right Midfielder,China PR,49,55,1258,https://www.fifaratings.com/xingliang-zhang
Zhenghao Wang,Tianjin Jinmen Tiger FC,"6'1""																",154lbs,#3 ,CB,Centre Back,China PR,49,55,1197,https://www.fifaratings.com/zhenghao-wang
Luke Jephcott,Swindon Town,"5'10""																",165lbs,#15 ,ST,Striker,Wales,65,69,1693,https://www.fifaratings.com/luke-jephcott
Angus MacDonald,Swindon Town,"6'0""																",154lbs,#21 ,CB,Centre Back,England,65,65,1395,https://www.fifaratings.com/angus-macdonald
Louis Reed,Swindon Town,"5'8""																",132lbs,#5 ,CM,Center Midfielder,England,64,66,1809,https://www.fifaratings.com/louis-reed
Jonny Williams,Swindon Town,"5'6""																",132lbs,#8 ,CAM,Center Attacking Midfielder,Wales,64,64,1745,https://www.fifaratings.com/jonny-williams
Mathieu Baudry,Swindon Town,"6'2""																",176lbs,#6 ,CB,Centre Back,France,62,62,1382,https://www.fifaratings.com/mathieu-baudry
Ben Gladwin,Swindon Town,"6'3""																",190lbs,#7 ,CM,Center Midfielder,England,62,62,1722,https://www.fifaratings.com/ben-gladwin
Tyrese Shade,Swindon Town,"6'0""																",168lbs,#28 ,RM,Right Midfielder,Saint Kitts and Nevis,61,70,1707,https://www.fifaratings.com/tyrese-shade
R. Hepburn-Murphy,Swindon Town,"5'8""																",143lbs,#19 ,ST,Striker,England,61,67,1517,https://www.fifaratings.com/rushian-hepburn-murphy
Ellis Iandolo,Swindon Town,"6'1""																",157lbs,#3 ,LM,Left Midfielder,England,61,64,1753,https://www.fifaratings.com/ellis-iandolo
Remeao Hutton,Swindon Town,"5'9""																",159lbs,#2 ,RB,Right Back,England,61,63,1620,https://www.fifaratings.com/remeao-hutton
Tomi Adeloye,Swindon Town,"6'0""																",161lbs,#9 ,ST,Striker,England,61,62,1554,https://www.fifaratings.com/tomi-adeloye
Ciaran Brennan,Swindon Town,"6'2""																",154lbs,#34 ,CB,Centre Back,Republic of Ireland,60,72,1381,https://www.fifaratings.com/ciaran-brennan
Marcel Lavinier,Swindon Town,"5'11""																",154lbs,#22 ,RB,Right Back,England,60,72,1510,https://www.fifaratings.com/marcel-lavinier
Reece Devine,Swindon Town,"6'0""																",154lbs,#18 ,LB,Left Back,England,60,68,1597,https://www.fifaratings.com/reece-devine
Ricky Aguiar,Swindon Town,"6'1""																",161lbs,#17 ,CAM,Center Attacking Midfielder,England,59,69,1631,https://www.fifaratings.com/ricky-aguiar
F. Blake-Tracy,Swindon Town,"6'0""																",150lbs,#20 ,LB,Left Back,England,59,60,1444,https://www.fifaratings.com/frazer-blake-tracy
Ronan Darcy,Swindon Town,"5'8""																",132lbs,#10 ,RM,Right Midfielder,England,58,66,1462,https://www.fifaratings.com/ronan-darcy
Cian Harries,Swindon Town,"6'1""																",165lbs,#26 ,CB,Centre Back,Wales,58,59,1493,https://www.fifaratings.com/cian-harries
Mohammad Dabre,Swindon Town,"5'6""																",150lbs,#30 ,LM,Left Midfielder,Italy,57,68,1539,https://www.fifaratings.com/mohammad-dabre
Tom Clayton,Swindon Town,"6'0""																",161lbs,#4 ,CB,Centre Back,Scotland,57,64,1375,https://www.fifaratings.com/tom-clayton
Sol Brynn,Swindon Town,"6'0""																",176lbs,#1 ,GK,Goalkeeper,England,56,67,882,https://www.fifaratings.com/sol-brynn
Jacob Wakeling,Swindon Town,"5'10""																",168lbs,#24 ,ST,Striker,England,56,62,1439,https://www.fifaratings.com/jacob-wakeling
Saidou Khan,Swindon Town,"6'2""																",168lbs,#23 ,CAM,Center Attacking Midfielder,Gambia,55,58,1514,https://www.fifaratings.com/saidou-khan
Morgan Roberts,Swindon Town,"5'11""																",163lbs,#33 ,LM,Left Midfielder,Wales,53,64,1374,https://www.fifaratings.com/morgan-roberts
Conor Brann,Swindon Town,"6'4""																",176lbs,#25 ,GK,Goalkeeper,Republic of Ireland,52,69,892,https://www.fifaratings.com/conor-brann
G. Cowmeadow,Swindon Town,"6'1""																",154lbs,#32 ,ST,Striker,Wales,52,63,1262,https://www.fifaratings.com/george-cowmeadow
A. Mikkelsen,Tromsø IL,"5'7""																",137lbs,#10 ,CAM,Center Attacking Midfielder,Norway,67,77,1743,https://www.fifaratings.com/august-mikkelsen
J. Gundersen,Tromsø IL,"6'1""																",181lbs,#4 ,CB,Centre Back,Norway,66,68,1622,https://www.fifaratings.com/jostein-gundersen
R. Jenssen,Tromsø IL,"5'8""																",157lbs,#11 ,CM,Center Midfielder,Norway,66,66,1880,https://www.fifaratings.com/ruben-yttergard-jenssen
C. Psyché,Tromsø IL,"6'1""																",187lbs,#28 ,CB,Centre Back,France,66,66,1569,https://www.fifaratings.com/christophe-psyche
Sakarias Opsahl,Tromsø IL,"6'2""																",148lbs,#22 ,CM,Center Midfielder,Norway,65,72,1798,https://www.fifaratings.com/sakarias-opsahl
E. Kitolano,Tromsø IL,"5'9""																",154lbs,#17 ,RM,Right Midfielder,Norway,65,68,1801,https://www.fifaratings.com/eric-bugale-kitolano
N. Vesterlund,Tromsø IL,"6'1""																",176lbs,#19 ,RWB,Right WingBack,Denmark,64,71,1683,https://www.fifaratings.com/niklas-vesterlund
Jakob Haugaard,Tromsø IL,"6'6""																",192lbs,#1 ,GK,Goalkeeper,Denmark,64,64,1162,https://www.fifaratings.com/jakob-haugaard
K. Antonsen,Tromsø IL,"5'8""																",154lbs,#8 ,CDM,Center Defensive Midfielder,Norway,64,64,1864,https://www.fifaratings.com/kent-are-antonsen
Lasse Nilsen,Tromsø IL,"5'11""																",172lbs,#25 ,LWB,Left WingBack,Norway,64,64,1678,https://www.fifaratings.com/lasse-nilsen
Casper Øyvann,Tromsø IL,"6'1""																",181lbs,#20 ,CB,Centre Back,Norway,63,72,1573,https://www.fifaratings.com/casper-oyvann
A. Jenssen,Tromsø IL,"6'1""																",185lbs,#5 ,CB,Centre Back,Norway,63,64,1461,https://www.fifaratings.com/anders-finjord-jenssen
Jasse Tuominen,Tromsø IL,"6'2""																",163lbs,#15 ,ST,Striker,Finland,62,64,1606,https://www.fifaratings.com/jasse-tuominen
Warren Kamanzi,Tromsø IL,"5'10""																",154lbs,#14 ,RWB,Right WingBack,Norway,61,71,1630,https://www.fifaratings.com/warren-kamanzi
F. Winther,Tromsø IL,"6'1""																",165lbs,#7 ,CDM,Center Defensive Midfielder,Denmark,61,69,1699,https://www.fifaratings.com/felix-vrede-winther
Lasse Nordås,Tromsø IL,"6'4""																",170lbs,#9 ,ST,Striker,Norway,60,72,1467,https://www.fifaratings.com/lasse-nordas
Simon Thomas,Tromsø IL,"6'3""																",198lbs,#12 ,GK,Goalkeeper,Canada,60,60,1094,https://www.fifaratings.com/simon-thomas
Oskar Opsahl,Tromsø IL,"5'10""																",141lbs,#2 ,LWB,Left WingBack,Norway,58,67,1527,https://www.fifaratings.com/oskar-opsahl
Mikkel Ceïde,Tromsø IL,"6'0""																",163lbs,#6 ,CB,Centre Back,Norway,57,70,1314,https://www.fifaratings.com/mikkel-ceide
Runar Norheim,Tromsø IL,"5'9""																",143lbs,#23 ,CAM,Center Attacking Midfielder,Norway,56,76,1504,https://www.fifaratings.com/runar-norheim
I. Vik,Tromsø IL,"6'2""																",176lbs,#26 ,CB,Centre Back,Norway,56,70,1353,https://www.fifaratings.com/isak-kjelsrud-vik
J. Robertsen,Tromsø IL,"5'9""																",148lbs,#3 ,RWB,Right WingBack,Norway,55,70,1430,https://www.fifaratings.com/jesper-bergset-robertsen
Tobias Hafstad,Tromsø IL,"5'10""																",165lbs,#21 ,CM,Center Midfielder,Norway,55,69,1589,https://www.fifaratings.com/tobias-hafstad
M. Tollefsen,Tromsø IL,"6'3""																",181lbs,#32 ,GK,Goalkeeper,Norway,55,63,933,https://www.fifaratings.com/marius-tollefsen
Daniel Bassi,Tromsø IL,"5'9""																",154lbs,#24 ,CAM,Center Attacking Midfielder,Norway,53,73,1443,https://www.fifaratings.com/daniel-bassi
Didrik Hafstad,Tromsø IL,"6'1""																",172lbs,#29 ,ST,Striker,Norway,53,70,1292,https://www.fifaratings.com/didrik-hafstad
Elias Aarflot,Tromsø IL,"6'1""																",165lbs,#18 ,ST,Striker,Norway,53,70,1290,https://www.fifaratings.com/elias-aarflot
M. Longstaff,Colchester United,"5'7""																",143lbs,#25 ,CAM,Center Attacking Midfielder,England,66,70,1837,https://www.fifaratings.com/matthew-longstaff
Noah Chilvers,Colchester United,"5'8""																",141lbs,#14 ,RM,Right Midfielder,England,63,73,1810,https://www.fifaratings.com/noah-chilvers
Beryly Lubala,Colchester United,"5'10""																",168lbs,#15 ,RM,Right Midfielder,DR Congo,63,67,1646,https://www.fifaratings.com/beryly-lubala
Tom Dallison,Colchester United,"6'4""																",185lbs,#6 ,CB,Centre Back,England,63,65,1365,https://www.fifaratings.com/tom-dallison
Freddie Sears,Colchester United,"5'7""																",165lbs,#11 ,RW,Right Winger,England,63,63,1761,https://www.fifaratings.com/freddie-sears
Kwesi Appiah,Colchester United,"5'11""																",176lbs,#9 ,ST,Striker,Ghana,63,63,1660,https://www.fifaratings.com/kwesi-appiah
Alex Newby,Colchester United,"5'8""																",154lbs,#19 ,RM,Right Midfielder,England,63,63,1645,https://www.fifaratings.com/alex-newby
Cole Skuse,Colchester United,"6'1""																",159lbs,#8 ,CDM,Center Defensive Midfielder,England,63,63,1661,https://www.fifaratings.com/cole-skuse
Ryan Clampin,Colchester United,"5'11""																",154lbs,#3 ,LWB,Left WingBack,England,62,68,1620,https://www.fifaratings.com/ryan-clampin
Cameron Coxe,Colchester United,"6'1""																",154lbs,#27 ,RB,Right Back,Wales,62,67,1620,https://www.fifaratings.com/cameron-coxe
Emyr Huws,Colchester United,"6'1""																",172lbs,#28 ,CM,Center Midfielder,Wales,62,62,1744,https://www.fifaratings.com/emyr-huws
John Akinde,Colchester United,"6'2""																",192lbs,#24 ,ST,Striker,England,62,62,1624,https://www.fifaratings.com/john-akinde
Alan Judge,Colchester United,"5'7""																",154lbs,#10 ,CAM,Center Attacking Midfielder,Republic of Ireland,62,62,1752,https://www.fifaratings.com/alan-judge
J. Tchamadeu,Colchester United,"5'11""																",159lbs,#22 ,RB,Right Back,England,61,71,1629,https://www.fifaratings.com/junior-tchamadeu
Charlie Owens,Colchester United,"6'1""																",176lbs,#20 ,CM,Center Midfielder,Northern Ireland,61,67,1647,https://www.fifaratings.com/charlie-owens
K. O'Hara,Colchester United,"6'3""																",172lbs,#13 ,GK,Goalkeeper,Republic of Ireland,61,63,1091,https://www.fifaratings.com/kieran-ohara
Luke Chambers,Colchester United,"6'1""																",192lbs,#4 ,CB,Centre Back,England,61,61,1373,https://www.fifaratings.com/luke-chambers
Tom Eastman,Colchester United,"6'3""																",194lbs,#18 ,CB,Centre Back,England,60,60,1411,https://www.fifaratings.com/tom-eastman
Tommy Smith,Colchester United,"6'2""																",181lbs,#5 ,CB,Centre Back,New Zealand,60,60,1483,https://www.fifaratings.com/tommy-smith-2
Daniel Chesters,Colchester United,"5'8""																",150lbs,#23 ,RM,Right Midfielder,England,59,74,1482,https://www.fifaratings.com/daniel-chesters
Sam Hornby,Colchester United,"6'1""																",176lbs,#1 ,GK,Goalkeeper,England,59,61,1075,https://www.fifaratings.com/sam-hornby
M. Marshall Miranda,Colchester United,"5'9""																",148lbs,#33 ,CAM,Center Attacking Midfielder,England,58,68,1637,https://www.fifaratings.com/marley-marshall-miranda
Luke Hannant,Colchester United,"5'11""																",148lbs,#7 ,LM,Left Midfielder,England,58,58,1631,https://www.fifaratings.com/luke-hannant
Gene Kennedy,Colchester United,"6'2""																",174lbs,#21 ,CDM,Center Defensive Midfielder,England,57,70,1535,https://www.fifaratings.com/gene-kennedy
Ossama Ashley,Colchester United,"5'11""																",181lbs,#17 ,RM,Right Midfielder,England,57,64,1544,https://www.fifaratings.com/ossama-ashley
Al-Amin Kazeem,Colchester United,"5'11""																",146lbs,#30 ,LB,Left Back,England,57,64,1450,https://www.fifaratings.com/al-amin-kazeem
Frank Nouble,Colchester United,"6'3""																",181lbs,#45 ,ST,Striker,England,57,57,1531,https://www.fifaratings.com/frank-nouble
Samson Tovide,Colchester United,"6'2""																",172lbs,#34 ,ST,Striker,England,56,69,1533,https://www.fifaratings.com/samson-tovide
Luke Le Roux,Varbergs BoIS FC,"5'11""																",154lbs,#8 ,CM,Center Midfielder,South Africa,65,74,1803,https://www.fifaratings.com/luke-le-roux
Oliver Stanisic,Varbergs BoIS FC,"6'4""																",183lbs,#4 ,CB,Centre Back,Sweden,65,65,1510,https://www.fifaratings.com/oliver-stanisic
A. Liljenbäck,Varbergs BoIS FC,"6'0""																",183lbs,#23 ,RWB,Right WingBack,Sweden,64,65,1647,https://www.fifaratings.com/anton-liljenback
Joakim Lindner,Varbergs BoIS FC,"6'4""																",194lbs,#18 ,CB,Centre Back,Sweden,64,64,1587,https://www.fifaratings.com/joakim-lindner
Jon Birkfeldt,Varbergs BoIS FC,"6'0""																",176lbs,#2 ,CB,Centre Back,Sweden,63,66,1436,https://www.fifaratings.com/jon-birkfeldt
H. Zackrisson,Varbergs BoIS FC,"6'2""																",183lbs,#3 ,CB,Centre Back,Sweden,63,64,1597,https://www.fifaratings.com/hampus-zackrisson
Robin Tranberg,Varbergs BoIS FC,"6'1""																",179lbs,#7 ,CDM,Center Defensive Midfielder,Sweden,63,63,1732,https://www.fifaratings.com/robin-tranberg
Robin Šimović,Varbergs BoIS FC,"6'6""																",205lbs,#9 ,ST,Striker,Sweden,63,63,1481,https://www.fifaratings.com/robin-simovic
F. Andersson,Varbergs BoIS FC,"6'5""																",201lbs,#29 ,GK,Goalkeeper,Sweden,63,63,1053,https://www.fifaratings.com/fredrik-andersson
Tobias Carlsson,Varbergs BoIS FC,"6'2""																",165lbs,#20 ,CB,Centre Back,Sweden,62,65,1392,https://www.fifaratings.com/tobias-carlsson
A. Johansson,Varbergs BoIS FC,"6'2""																",174lbs,#16 ,ST,Striker,Sweden,62,63,1631,https://www.fifaratings.com/alexander-johansson
Stojan Lukić,Varbergs BoIS FC,"6'4""																",201lbs,#42 ,GK,Goalkeeper,Bosnia and Herzegovina,62,62,1009,https://www.fifaratings.com/stojan-lukic
Gideon Mensah,Varbergs BoIS FC,"6'0""																",174lbs,#15 ,CB,Centre Back,Ghana,61,68,1551,https://www.fifaratings.com/gideon-mensah-2
S. Adjei,Varbergs BoIS FC,"6'4""																",196lbs,#12 ,ST,Striker,Sweden,61,61,1448,https://www.fifaratings.com/simon-karlsson-adjei
Ismet Lushaku,Varbergs BoIS FC,"5'10""																",172lbs,#17 ,CAM,Center Attacking Midfielder,Kosovo,60,71,1555,https://www.fifaratings.com/ismet-lushaku
Des Kunst,Varbergs BoIS FC,"6'3""																",185lbs,#32 ,ST,Striker,Netherlands,60,67,1477,https://www.fifaratings.com/des-kunst
Eliton Júnior,Varbergs BoIS FC,"5'11""																",170lbs,#11 ,RM,Right Midfielder,Brazil,60,67,1431,https://www.fifaratings.com/eliton-junior
Ó. Sverrisson,Varbergs BoIS FC,"6'0""																",176lbs,#5 ,LWB,Left WingBack,Iceland,60,60,1564,https://www.fifaratings.com/oskar-sverrisson
Oliver Alfonsi,Varbergs BoIS FC,"5'11""																",154lbs,#14 ,RM,Right Midfielder,Sweden,59,72,1563,https://www.fifaratings.com/oliver-alfonsi
André Boman,Varbergs BoIS FC,"6'0""																",163lbs,#22 ,CAM,Center Attacking Midfielder,Sweden,59,70,1621,https://www.fifaratings.com/andre-boman
Flamur Dzelili,Varbergs BoIS FC,"6'0""																",161lbs,#28 ,RM,Right Midfielder,Sweden,59,67,1440,https://www.fifaratings.com/flamur-dzelili
Filipe Sissé,Varbergs BoIS FC,"5'11""																",157lbs,#21 ,LM,Left Midfielder,Portugal,58,68,1515,https://www.fifaratings.com/filipe-sisse
Filip Bohman,Varbergs BoIS FC,"6'1""																",172lbs,#19 ,ST,Striker,Sweden,58,63,1352,https://www.fifaratings.com/filip-bohman
P. Mårtensson,Varbergs BoIS FC,"6'2""																",185lbs,#1 ,GK,Goalkeeper,Sweden,58,59,978,https://www.fifaratings.com/philip-martensson
Joel Sundström,Varbergs BoIS FC,"5'11""																",165lbs,#30 ,CAM,Center Attacking Midfielder,Sweden,57,68,1476,https://www.fifaratings.com/joel-sundstrom
Dion Krasniqi,Varbergs BoIS FC,"6'0""																",172lbs,#35 ,ST,Striker,Sweden,56,73,1367,https://www.fifaratings.com/dion-krasniqi
Rasmus Cronvall,Varbergs BoIS FC,"5'9""																",143lbs,#27 ,ST,Striker,Sweden,55,67,1342,https://www.fifaratings.com/rasmus-cronvall
David Bendrik,Varbergs BoIS FC,"6'0""																",163lbs,#24 ,CB,Centre Back,Sweden,53,70,1410,https://www.fifaratings.com/david-bendrik
Stoppila Sunzu,Shijiazhuang Ever Bright F.C.,"6'4""																",176lbs,#13 ,CB,Centre Back,Zambia,73,73,1640,https://www.fifaratings.com/stoppila-sunzu
O. Maritu,Shijiazhuang Ever Bright F.C.,"6'0""																",176lbs,#10 ,ST,Striker,DR Congo,70,77,1570,https://www.fifaratings.com/oscar-taty-maritu
